ID,firstName,middleName,lastName,generationalSuffix,primaryNumber,preDirectional,street,streetSuffix,postDirectional,unitDesignator,secondaryNumber,city,state,zipCode,zipExtension,phone,email,latitude,longitude,ip
1,CADYN,,TIERNEY,,3111,N,RANKIN,ST,,,,APPLETON,WI,54911,1422,,,,,12.125.235.0
2,CADYN,,TIERNEY,,,,,,,,,,,,,5012524183,,,,
3,CADYN,,TIERNEY,,,,,,,,,,,,,5012524802,,,,
4,CADYN,,TIERNEY,,,,,,,,,,,,,,CADYNTIERNEY347@ACXIOM.COM,,,
5,MINH,T,TIERNEY,,3111,N,RANKIN,ST,,,,APPLETON,WI,54911,1422,,,,,
6,MINH,T,TIERNEY,,802,,KAINUI,DR,,,,KAILUA,HI,96734,2024,,,,,
7,MINH,T,TIERNEY,,,,,,,,,,,,,6503561610,,,,
8,MINH,T,TIERNEY,,,,,,,,,,,,,,MINHTIERNEY195@ACXIOM.COM,,,
9,MINH,T,TIERNEY,,,,,,,,,,,,,,MINHTIERNEY743@ACXIOM.COM,,,
10,ORPHA,FLORIDA,TIERNEY,,3111,N,RANKIN,ST,,,,APPLETON,WI,54911,1422,,,,,12.139.117.0
11,ORPHA,FLORIDA,TIERNEY,,5305,W,SUMMIT,AVE,,,,BARTONVILLE,IL,61607,9571,,,,,
12,MAYRA,G,TIERNEY,,3111,N,RANKIN,ST,,,,APPLETON,WI,54911,1422,,,,,12.28.184.0
13,MAYRA,G,TIERNEY,,3334,,CLAY,PL,NE,,,WASHINGTON,DC,20019,1420,,,,,
14,MAYRA,G,TIERNEY,,,,,,,,,,,,,9175102917,,,,
15,MAYRA,G,TIERNEY,,,,,,,,,,,,,,MAYRATIERNEY678@ACXIOM.COM,,,
16,MAYTE,P,TIERNEY,,3111,N,RANKIN,ST,,,,APPLETON,WI,54911,1422,,,,,
17,MAYTE,P,TIERNEY,,920,,JEFFERY,AVE,,,,ANCHOR POINT,AK,99603,,,,,,
18,MAYTE,P,TIERNEY,,,,,,,,,,,,,9175108596,,,,
19,MAYTE,P,TIERNEY,,,,,,,,,,,,,6503564596,,,,
20,MAYTE,P,TIERNEY,,,,,,,,,,,,,,MAYTETIERNEY693@ACXIOM.COM,,,
21,ABAGAIL,VIKTORIA,MICHEL,,5955,,KINGSFIELD,ST,,,,CASTLE ROCK,CO,80104,5205,,,,,
22,ABAGAIL,VIKTORIA,MICHEL,,,,,,,,,,,,,,ABAGAILMICHEL303@ACXIOM.COM,,,
23,SHEBA,I,MICHEL,,5955,,KINGSFIELD,ST,,,,CASTLE ROCK,CO,80104,5205,,,,,
24,SHEBA,I,MICHEL,,99,,SAGAMORE,ST,,,,MANCHESTER,NH,3104,3662,,,,,
25,SHEBA,I,MICHEL,,,,,,,,,,,,,,SHEBAMICHEL841@ACXIOM.COM,,,
26,MELINA,ZONA,MICHEL,,5955,,KINGSFIELD,ST,,,,CASTLE ROCK,CO,80104,5205,,,,,
27,MELINA,ZONA,MICHEL,,4345,S,WORMWOOD,DR,,,,KEARNS,UT,84120,5650,,,,,
